,keyword,0
765,듣는책,4
766,음악,4
767,결말,4
768,ㅠㅠㅠㅠ,4
769,예술,3
770,둘다,3
771,친절,3
772,아쉬울정도,3
773,다르네요좋아요,3
774,굿재밌게,3
775,딸아이,3
776,법,3
777,좋아요좋네요,3
778,문성근배우님,3
779,대비,3
780,정세운,3
781,귀신,3
782,목소리목소리,3
783,신선한,3
784,딜리버리,3
785,듣기좋고,3
786,사회생활,3
787,캐쉬,3
788,독자들,3
789,다큐,3
790,감사합니다최민식,3
791,기대됩니다잘,3
792,음색,3
793,몰입해,3
794,잘못,3
795,좋습니다좋,3
796,기술,3
797,초등학생,3
798,이후,3
799,잘들을게요잘,3
800,오오,3
801,신작,3
802,탁월,3
803,조금,3
804,씨,3
805,좋아요좋습니,3
806,우왕,3
807,티비,3
808,피,3
809,유튜브,3
810,중후,3
811,세운,3
812,가치,3
813,컴북스오디오북입니,3
814,별,3
815,들었어요재미있게,3
816,엄청,3
817,다정,3
818,사연,3
819,ㅎ완전,3
820,당연,3
821,날씨,3
822,복,3
823,의지,3
824,결재,3
825,효과,3
826,절,3
827,공포체험,3
828,듣겠습니다,3
829,반대,3
830,특유,3
831,감수성,3
832,좋네요,3
833,고등학교,3
834,들었습니다가슴,3
835,아포칼립스,3
836,누군가,3
837,참,3
838,팁,3
839,좋네요마음,3
840,좋네요좋아하,3
841,인문학,3
842,영원,3
843,만한,3
844,이젠,3
845,사상,3
846,유,3
847,학생,3
848,재밌을것,3
849,활동,3
850,친숙한,3
851,지문,3
852,궁금증,3
853,우,3
854,채,3
855,ㅠㅠㅠ,3
856,들었어요유익한,3
857,폭력,3
858,계속,3
859,문화,3
860,사이,3
861,묵직,3
862,욕심,3
863,들을께요잘,3
864,ㅋㅋㅋ,3
865,팟케,3
866,소소한,3
867,시하,3
868,전개도,3
869,직업,3
870,감사합니다역시,3
871,답답,3
872,성격,3
873,프롤로그,3
874,당신,3
875,강추합니,3
876,실천,3
877,예리님,3
878,온도,3
879,책읽어주,3
880,취향,3
881,들었습니다잘들을께여좋아요좋아요좋아요잘,3
882,과정,3
883,업무,3
884,지연,3
885,담담,3
886,예,3
887,정말기대,3
888,유익한거,3
889,어,3
890,잘들리,3
891,동네,3
892,좋네요좋,3
893,단단,3
894,편의점,3
895,담배피,3
896,들었어요좋아요,3
897,의견,3
898,감질맛,3
899,예지원,3
900,제목만,3
